X;Y
0.56443;0.01269
0.61107;0.01301
0.66555;0.01258
0.7238;0.01291
0.78479;0.01269
0.86376;0.01261
0.92539;0.01278
1.00487;0.01315
1.08304;0.01277
1.22095;0.01273
1.32582;0.01321
1.43969;0.01278
1.56335;0.01326
1.69763;0.01286
1.84344;0.01306
2.00178;0.01274
2.17371;0.01323
2.33404;0.01297
2.62141;0.01273
2.84657;0.01328
3.09106;0.01293
3.37168;0.01285
3.64486;0.01295
3.95792;0.01323
4.2818;0.01289
4.84514;0.01307
5.22855;0.01302
5.7132;0.01309
6.23186;0.01318
6.73677;0.01323
7.40731;0.01329
7.91404;0.01344
8.75624;0.01404
9.33192;0.01386
10.40265;0.01403
11.29614;0.01469
12.26638;0.01424
13.31996;0.01496
14.46403;0.01516
15.70637;0.01559
16.99165;0.01542
19.08366;0.01604
20.44524;0.01647
22.5027;0.01696
24.43548;0.01762
26.53428;0.01807
29.64216;0.01913
31.99927;0.01987
