X;Y
0.58262;0.00321
0.67355;0.00352
0.7819;0.00383
0.90769;0.00414
1.04253;0.00446
1.21023;0.00479
1.40491;0.00513
1.6309;0.00547
1.89324;0.00583
2.18608;0.00622
2.52419;0.00665
2.92076;0.00715
3.36525;0.00766
3.84441;0.00823
4.41516;0.0089
5.07064;0.00956
5.79249;0.01023
6.61704;0.01092
7.51863;0.01171
8.4422;0.01263
9.4907;0.01344
10.82139;0.01454
12.19337;0.01565
13.73923;0.01678
15.37605;0.01789
17.10145;0.01894
19.15006;0.02008
21.43781;0.0212
23.99866;0.02236
26.94474;0.02357
30.14594;0.02467
31.94367;0.02515
