X;Y
0.0;2.2432e-08
0.46563;2.0508e-08
0.46563;1.7319e-08
0.53215;1.0654e-08
0.66519;6.1516e-09
0.77503;4.2537e-09
1.5466;2.9503e-09
2.4914;2.2607e-09
3.5306;1.8908e-09
4.5699;1.661e-09
5.6092;1.5077e-09
6.6484;1.3874e-09
7.6877;1.2924e-09
8.727;1.2171e-09
9.7662;1.1494e-09
10.805;1.0988e-09
11.845;1.0519e-09
12.884;1.018e-09
13.923;9.7718e-10
14.963;9.4313e-10
16.002;9.1651e-10
17.041;9.0122e-10
18.08;8.5843e-10
19.12;8.3876e-10
20.159;8.1842e-10
21.198;8.0185e-10
22.237;7.824e-10
23.277;7.676e-10
24.316;7.4797e-10
25.355;7.3784e-10
26.394;7.2487e-10
27.434;7.1505e-10
28.473;7.0153e-10
29.552;6.7709e-10
