X;Y
0.0011219;0.0096427
0.0014195;0.011072
0.0017962;0.013037
0.0022728;0.015352
0.0028758;0.018078
0.0036389;0.021197
0.0046044;0.024827
0.0058259;0.028768
0.0073714;0.032942
0.0093266;0.037479
0.0118;0.042139
0.01493;0.046974
0.018889;0.052082
0.023898;0.057932
0.030236;0.064232
0.038253;0.071064
0.048397;0.078117
0.061227;0.084224
0.077458;0.089934
0.097988;0.094698
0.12396;0.099286
0.15681;0.10265
0.19836;0.10568
0.25092;0.10682
0.31738;0.10568
0.40146;0.10568
0.50781;0.10568
0.64234;0.10568
0.81251;0.10568
0.97079;0.103
