X;Y
0.0011112;0.0070405
0.0014187;0.0084436
0.0017952;0.0099642
0.0022715;0.011721
0.0028742;0.013802
0.0036369;0.0162
0.0046018;0.018934
0.0058227;0.021939
0.0073673;0.025177
0.0093215;0.028613
0.011794;0.032137
0.014921;0.035824
0.018878;0.039805
0.023885;0.044134
0.030219;0.049091
0.038232;0.054313
0.04837;0.059575
0.061193;0.06437
0.077415;0.06866
0.097934;0.07222
0.12389;0.075556
0.15672;0.078538
0.19825;0.080852
0.25078;0.081463
0.31721;0.080852
0.40124;0.080591
0.50753;0.080591
0.64199;0.080678
0.81206;0.080678
