X;Y
0.0;4.0209e-08
0.99057;3.6542e-08
1.6875;3.4485e-08
2.3844;3.3378e-08
3.0813;3.2637e-08
3.7783;3.1912e-08
4.4752;3.1476e-08
5.1721;3.1023e-08
5.869;3.0577e-08
6.5659;3.0334e-08
7.2629;3.0007e-08
7.9598;2.9833e-08
8.6567;2.9447e-08
9.3536;2.9383e-08
10.051;2.9234e-08
10.747;2.896e-08
11.444;2.8918e-08
12.141;2.8709e-08
12.838;2.8461e-08
13.535;2.8461e-08
14.232;2.8358e-08
14.929;2.8113e-08
15.626;2.8011e-08
16.323;2.8011e-08
17.02;2.8011e-08
17.717;2.7849e-08
18.414;2.7568e-08
19.11;2.7568e-08
19.807;2.7132e-08
20.504;2.7132e-08
21.201;2.6819e-08
21.898;2.6664e-08
22.595;2.6357e-08
23.292;2.6281e-08
23.989;2.6281e-08
24.686;2.6281e-08
25.383;2.6281e-08
26.08;2.6281e-08
26.777;2.6281e-08
27.474;2.6281e-08
28.17;2.6281e-08
28.867;2.6281e-08
29.564;2.6281e-08
30.008;2.6142e-08
