X;Y
0.0;9.6439e-09
0.41332;9.3818e-09
1.061;7.9878e-09
1.7297;7.2081e-09
2.4953;6.7003e-09
3.3348;6.2865e-09
4.1584;5.8904e-09
4.8764;5.7056e-09
5.7423;5.4682e-09
6.4709;5.2546e-09
7.1573;5.1304e-09
7.9281;4.8714e-09
8.7201;4.7754e-09
9.5183;4.6182e-09
10.291;4.5091e-09
11.191;4.3399e-09
12.046;4.2037e-09
12.87;4.0718e-09
13.662;3.9441e-09
14.454;3.8203e-09
15.246;3.6711e-09
16.038;3.5844e-09
16.83;3.4719e-09
17.641;3.347e-09
18.477;3.1805e-09
19.285;3.008e-09
19.997;2.8534e-09
20.659;2.6083e-09
21.366;2.3646e-09
22.08;2.0683e-09
22.753;1.9175e-09
23.761;1.8677e-09
24.623;1.8207e-09
25.414;1.7919e-09
26.65;1.7636e-09
27.297;1.7384e-09
28.02;1.7461e-09
28.931;1.6812e-09
29.913;1.6546e-09
