X;Y
0.0;1.0607e-08
0.37813;9.766e-09
1.0698;8.8205e-09
1.9092;8.1233e-09
2.7519;7.5691e-09
3.5407;7.1985e-09
4.2724;6.9008e-09
5.2354;6.5681e-09
6.1541;6.2865e-09
6.9968;6.0554e-09
7.9218;5.8281e-09
8.8151;5.6005e-09
9.7179;5.414e-09
10.431;5.2546e-09
11.191;5.0897e-09
12.036;4.9169e-09
12.796;4.7627e-09
13.598;4.5888e-09
14.485;4.4449e-09
15.267;4.3514e-09
16.038;4.2037e-09
16.766;4.0881e-09
17.569;3.8714e-09
18.35;3.7301e-09
19.022;3.5901e-09
19.955;3.3496e-09
20.625;2.9984e-09
21.321;2.6455e-09
21.971;2.3657e-09
22.772;2.1353e-09
23.71;2.0119e-09
24.623;1.9717e-09
25.525;1.9328e-09
26.333;1.8947e-09
27.141;1.8573e-09
28.149;1.811e-09
28.82;1.7991e-09
29.543;1.7824e-09
30.054;1.7384e-09
