X;Y
0.0;0.0
27.276;0.00033933
45.585;0.00051067
63.894;0.00070676
82.203;0.00087513
100.51;0.0010393
118.82;0.0011567
137.14;0.0012699
155.45;0.0013831
173.76;0.0014963
192.07;0.0016011
210.38;0.0016719
228.7;0.0017511
247.01;0.0018049
265.33;0.0018545
283.64;0.001938
301.95;0.0019537
320.27;0.001999
338.59;0.0020061
356.9;0.0020515
375.22;0.0020544
393.53;0.0020573
411.85;0.0020602
430.17;0.0020631
448.48;0.002066
466.8;0.0020689
485.11;0.0020718
503.43;0.0020747
521.75;0.0020776
540.06;0.0021271
558.38;0.0021767
576.69;0.0021796
593.34;0.0021874
