X;Y
1.2475;0.0060676
1.3905;0.0059386
1.5499;0.0057906
1.7275;0.0056616
1.9255;0.0055263
2.1462;0.0053784
2.3923;0.0052494
2.6665;0.0051015
2.9721;0.0049661
3.3128;0.0048182
3.6925;0.0046577
4.1158;0.0045161
4.5876;0.0043619
5.1134;0.0042139
5.6995;0.004066
6.3529;0.0039244
7.081;0.0037765
7.8927;0.0036096
8.7974;0.003468
9.8058;0.0033201
10.93;0.0032289
12.183;0.0031251
13.579;0.0029835
15.136;0.002823
16.871;0.0026751
18.804;0.0025145
20.96;0.0023666
23.362;0.002225
26.04;0.0020771
29.025;0.0019354
31.877;0.001806
