X;Y
0.0010682;0.0098983
0.0012559;0.011338
0.0014679;0.012736
0.0017157;0.014265
0.0020054;0.015957
0.0023441;0.01775
0.0027398;0.019869
0.0032024;0.02224
0.0037431;0.024877
0.0043753;0.027386
0.0051142;0.030359
0.0059779;0.033607
0.0069876;0.036868
0.0081683;0.040111
0.0095484;0.043608
0.011161;0.047774
0.013047;0.052447
0.015251;0.057059
0.017828;0.06238
0.02084;0.06796
0.024361;0.07404
0.028476;0.08072
0.033287;0.088308
0.038911;0.096075
0.045486;0.10409
0.053174;0.11161
0.062163;0.11925
0.072673;0.12663
0.084963;0.13297
0.099332;0.13944
0.11613;0.14592
0.13578;0.15123
0.15875;0.15564
0.18562;0.15875
0.21704;0.1608
0.2538;0.16051
0.29678;0.15967
0.34703;0.16061
0.40577;0.16269
0.47447;0.16342
0.55482;0.16358
0.64877;0.16363
0.75862;0.16369
0.88708;0.16374
0.97301;0.16315
