X;Y
0.0;0.0
0.43483;0.0
0.53062;5.7252
0.62639;11.839
0.72213;20.251
0.81785;31.895
0.91355;45.327
1.0048;66.285
1.0918;84.415
1.1743;105.88
1.2526;125.8
1.3221;147.59
1.3872;168.24
1.4567;189.62
1.5295;212.11
1.6912;272.87
1.7432;293.81
1.7953;315.07
1.8474;336.01
1.8995;356.8
1.9516;379.14
2.0036;400.71
2.0557;423.21
2.1078;445.71
2.1598;468.22
2.2076;488.84
2.2553;510.41
2.303;531.59
2.3464;551.66
2.3941;573.22
2.4462;593.69
2.4939;612.42
2.5373;633.98
2.5806;655.72
2.624;676.53
2.6674;696.6
2.7108;716.47
2.7542;736.53
2.8019;758.69
2.8496;780.78
2.8886;797.29
