X;Y
0.0;0.0
27.253;0.00088833
45.54;0.00158
63.832;0.0021578
82.118;0.0028777
100.4;0.0036323
118.68;0.0044406
136.97;0.005256
155.25;0.0060439
173.53;0.0068253
191.82;0.0076301
209.26;0.0085231
226.7;0.0094855
244.98;0.010358
263.27;0.011193
281.54;0.012078
299.82;0.013014
318.1;0.013985
335.54;0.015009
352.98;0.015997
371.25;0.017035
389.52;0.018065
406.96;0.019136
423.57;0.020133
440.18;0.021162
456.79;0.022234
472.56;0.023181
488.34;0.024176
504.12;0.025177
519.06;0.026206
534.0;0.027246
548.94;0.028285
563.89;0.029335
579.66;0.030388
594.6;0.031381
