X;Y
0.0;0.0
30.575;0.0010819
48.868;0.0016463
67.156;0.0023153
85.449;0.0028634
103.74;0.0033493
122.04;0.0039278
140.33;0.0044992
158.62;0.0050707
176.91;0.0056131
195.21;0.0061994
213.5;0.0068062
231.79;0.0073284
250.08;0.00793
268.37;0.0085247
286.66;0.0091725
304.95;0.0098508
323.24;0.010366
341.53;0.010997
359.82;0.011624
378.11;0.012263
396.4;0.012898
414.69;0.013571
432.98;0.014262
451.27;0.014956
469.55;0.015651
487.84;0.016354
506.13;0.017074
524.41;0.017866
542.69;0.018653
560.97;0.019441
579.26;0.020238
595.05;0.020903
