X;Y
1.2486;0.011155
1.3918;0.01141
1.5514;0.011653
1.7294;0.011928
1.9277;0.012196
2.1488;0.012458
2.3953;0.012701
2.67;0.012969
2.9763;0.013287
3.3178;0.01365
3.6984;0.01407
4.1228;0.014571
4.596;0.015211
5.1235;0.015788
5.7116;0.016561
6.3674;0.017409
7.0986;0.018345
7.9135;0.019134
8.8226;0.020354
9.8362;0.021583
10.966;0.022853
12.107;0.02439
13.234;0.025849
14.396;0.027309
15.66;0.028882
17.034;0.030443
18.347;0.031914
19.568;0.033446
20.767;0.03502
21.931;0.036577
23.046;0.038049
24.218;0.039631
25.45;0.04127
26.744;0.042852
28.104;0.044393
29.533;0.045976
31.036;0.047655
32.614;0.049196
