X;Y
0.0;9.3e-08
0.2981039464;7.82e-08
1.0384197752;7.04e-08
1.7585909555;6.89e-08
2.4787621359;6.87e-08
3.1989333163;6.87e-08
3.9191044967;6.83e-08
4.6392756771;6.8e-08
5.3594468574;6.8e-08
6.0796180378;6.8e-08
6.7997892182;6.8e-08
7.5199603986;6.8e-08
8.2401315789;6.8e-08
8.9603027593;6.8e-08
9.6804739397;6.79e-08
10.4006451201;6.8e-08
11.1208163005;6.78e-08
11.8409874808;6.77e-08
12.5611586612;6.77e-08
13.2813298416;6.75e-08
14.001501022;6.75e-08
14.7216722024;6.74e-08
15.4418433827;6.73e-08
16.1620145631;6.73e-08
16.8821857435;6.73e-08
17.6023569239;6.73e-08
18.3225281042;6.73e-08
19.0426992846;6.73e-08
19.762870465;6.73e-08
20.4830416454;6.73e-08
21.2032128258;6.73e-08
21.9233840061;6.73e-08
22.6435551865;6.73e-08
23.3637263669;6.73e-08
24.0838975473;6.73e-08
24.8040687276;6.73e-08
25.524239908;6.73e-08
26.2444110884;6.73e-08
26.9645822688;6.73e-08
27.6847534492;6.73e-08
28.4049246295;6.73e-08
29.1250958099;6.73e-08
29.7994379152;6.68e-08
