X;Y
0.0;3.67e-08
0.4866002993;2.79e-08
0.6325051099;1.8e-08
0.7601718191;1.07e-08
0.7110692386;1.42e-08
1.2348300971;7.7e-09
1.8240610629;6.2e-09
2.5442322432;5.1e-09
3.2644034236;4.5e-09
3.984574604;4.1e-09
4.7047457844;3.8e-09
5.4249169647;3.5e-09
6.1450881451;3.3e-09
6.8652593255;3.1e-09
7.5854305059;3e-09
8.3056016863;2.9e-09
9.0257728666;2.8e-09
9.745944047;2.7e-09
10.4661152274;2.6e-09
11.1862864078;2.5e-09
11.9064575881;2.4e-09
12.6266287685;2.4e-09
13.3467999489;2.3e-09
14.0669711293;2.3e-09
14.7871423097;2.2e-09
15.50731349;2.1e-09
16.2274846704;2.1e-09
16.9476558508;2.1e-09
17.6678270312;2e-09
18.3879982115;2e-09
19.1081693919;1.9e-09
19.8283405723;1.9e-09
20.5485117527;1.9e-09
21.2686829331;1.9e-09
21.9888541134;1.8e-09
22.7090252938;1.8e-09
23.4291964742;1.8e-09
24.1493676546;1.7e-09
24.869538835;1.7e-09
25.5897100153;1.7e-09
26.3098811957;1.7e-09
27.0300523761;1.7e-09
27.7502235565;1.6e-09
28.4703947368;1.6e-09
29.1905659172;1.6e-09
29.779796883;1.6e-09
