X;Y
0.0;0.0
0.35686;0.0
0.4383;7.65742
0.51977;17.84992
0.60129;36.81014
0.68284;59.51388
0.76442;89.45837
0.84233;124.99905
0.90544;159.75689
0.96484;194.23607
1.02426;231.49318
1.07628;269.40389
1.12458;304.83338
1.1692;341.45831
1.21381;378.08324
1.25471;413.67439
1.29562;449.96992
1.33659;496.18084
1.37377;527.98574
1.41098;564.04939
1.44819;601.31588
1.48171;639.14699
1.51521;674.86497
1.55059;714.40498
1.58969;758.66318
1.62322;799.8265
1.65302;835.21508
1.68284;872.6355
1.71782;908.19267
1.74986;947.34952
1.77597;984.27798
1.80951;1025.08913
1.83563;1065.29564
1.85805;1102.70743
1.88417;1142.07799
1.91397;1176.70414
1.94372;1202.90878
