X;Y
0.0;0.0
12.06389;0.00087
22.95067;0.00129
43.6189;0.00205
64.79943;0.00253
86.71377;0.00299
100.29369;0.00308
129.01862;0.00346
159.26648;0.0039
190.5867;0.00433
222.97313;0.00473
258.57053;0.00507
296.293;0.00534
335.08606;0.00559
372.80202;0.00584
411.59247;0.00608
450.37823;0.00631
490.23742;0.00653
530.09063;0.00673
569.93618;0.00691
610.84542;0.00705
651.74279;0.00715
693.70328;0.00721
734.57877;0.00724
776.5264;0.00726
818.47118;0.00728
859.33675;0.00728
901.28248;0.00729
943.22916;0.00731
984.09473;0.00731
1026.03572;0.00731
1067.9767;0.00731
1108.84227;0.00731
1150.78278;0.00731
1193.39435;0.00726
