X;Y
0.00109;0.0046
0.00134;0.00545
0.00164;0.00629
0.00201;0.00726
0.00246;0.00835
0.00301;0.00961
0.00369;0.01102
0.00452;0.01266
0.00553;0.01444
0.00677;0.01627
0.00829;0.01826
0.01015;0.02026
0.01243;0.0224
0.01522;0.02454
0.01863;0.02695
0.02281;0.02957
0.02793;0.03229
0.0342;0.0353
0.04187;0.03841
0.05126;0.04157
0.06277;0.04432
0.07685;0.04683
0.09409;0.04904
0.11519;0.05088
0.14104;0.05268
0.17268;0.05435
0.21142;0.05551
0.25884;0.05555
0.31691;0.05558
0.38801;0.05562
0.47506;0.05566
0.58163;0.05569
0.71212;0.05573
0.87188;0.05577
0.98265;0.05649
