X;Y
0.0;0.0
0.63607;0.0
0.72731;17.80148
0.78532;57.42047
0.85283;110.2261
0.82077;79.40073
0.90022;151.1499
0.97883;225.39055
1.03011;263.93268
1.11334;366.01309
1.14505;405.37309
1.17675;442.944
1.20845;481.23055
1.24015;519.15927
1.2679;553.86764
1.29169;584.40145
1.31549;614.93527
1.34324;649.40509
1.37099;684.11345
1.39479;715.12436
1.42254;749.952
1.45422;785.73382
1.48197;820.56145
1.50973;855.86618
1.54143;894.86836
1.58259;939.16285
1.60884;980.38691
1.63659;1014.73745
1.6683;1053.38182
1.70001;1093.45745
1.73171;1131.02836
1.76142;1165.97527
1.80282;1195.65033
