X;Y
0.0;0.0
34.64788;0.00454
59.96197;0.00619
84.07064;0.00722
114.20647;0.00914
139.82193;0.01014
167.24554;0.01164
194.03294;0.01324
222.09275;0.01424
249.51636;0.01542
275.19878;0.01644
304.36357;0.01761
331.78718;0.0188
359.21078;0.02001
386.63439;0.02127
414.058;0.0225
441.4816;0.02375
468.90521;0.02498
497.23289;0.02639
524.6565;0.0277
552.08011;0.02907
579.50371;0.03053
606.82687;0.03208
635.255;0.03373
661.17182;0.03532
689.59995;0.03706
717.19098;0.03881
745.25079;0.04065
775.8554;0.04272
803.44643;0.04465
831.03746;0.04664
856.06455;0.04847
884.88014;0.05077
912.47117;0.05291
939.32555;0.05518
966.84961;0.05761
994.97638;0.06012
1025.03185;0.06291
1052.30143;0.06541
1077.86427;0.06784
1104.269;0.07033
1132.07433;0.07301
1162.12979;0.07587
1189.9887;0.07793
1199.09642;0.08021
