X;Y
1.7235;0.03492
1.90815;0.03505
2.11261;0.0353
2.33894;0.03541
2.58952;0.0355
2.82748;0.03573
3.29388;0.03604
3.64676;0.03613
4.03748;0.03629
4.47014;0.03659
4.94918;0.03692
5.4796;0.0373
6.06687;0.03768
6.7171;0.03809
7.43703;0.0385
8.23436;0.03914
9.11714;0.03975
10.09499;0.04068
11.17797;0.04179
12.37751;0.04312
13.70602;0.04459
15.17715;0.04607
16.80648;0.04768
18.61071;0.04929
20.60888;0.05099
22.82225;0.05291
25.2733;0.05482
27.51322;0.05737
29.42593;0.05968
31.58773;0.06236
33.24496;0.06429
