X;Y
0.0;0.0
39.9902;0.00166
65.17369;0.00248
90.35718;0.00328
115.54068;0.00411
140.72417;0.00487
165.90767;0.00591
191.09116;0.00682
216.27465;0.00758
241.45815;0.00841
266.64164;0.00919
291.82514;0.0101
317.00863;0.01082
342.19212;0.0114
367.37562;0.01237
392.55911;0.01316
417.74261;0.01399
443.18048;0.01462
468.10959;0.01539
493.29309;0.01637
518.47658;0.01706
542.51537;0.01776
568.84357;0.01857
594.02706;0.01925
618.06585;0.02002
644.39405;0.02126
669.57755;0.02205
694.76104;0.02329
719.94453;0.02389
738.2598;0.02441
770.31152;0.02575
794.35031;0.02659
834.41496;0.02806
858.45375;0.02879
896.22899;0.03072
917.97837;0.03175
947.51174;0.03338
971.77947;0.03433
1012.98883;0.03646
1035.02438;0.03745
1070.22404;0.03945
1090.82872;0.04056
1125.16984;0.04246
1145.77452;0.04357
1182.40506;0.04557
1199.57562;0.0464
