X;Y
1.73504;0.01717
1.90485;0.01715
2.10623;0.01729
2.32893;0.01752
2.57524;0.01799
2.84768;0.01865
3.14904;0.01959
3.48254;0.02109
3.85131;0.02251
4.25936;0.02439
4.68897;0.02587
5.16215;0.02776
5.70884;0.02927
6.28499;0.03122
6.91908;0.03292
7.65219;0.03482
8.42429;0.0366
9.27438;0.03844
10.25708;0.04036
11.29204;0.04216
12.37486;0.04401
13.62378;0.04597
14.99867;0.04789
16.43708;0.04982
18.03006;0.05181
19.53904;0.05362
21.04926;0.05555
22.54699;0.05743
24.46265;0.05948
25.75223;0.0613
26.83951;0.06336
27.92941;0.0652
29.02115;0.06755
30.47778;0.06966
31.66735;0.07155
32.40757;0.07378
33.31283;0.075
