X;Y
0.0011;0.00751
0.00134;0.00882
0.00164;0.01018
0.00201;0.01173
0.00246;0.01353
0.00301;0.01562
0.00369;0.01794
0.00452;0.02053
0.00553;0.02332
0.00677;0.02638
0.00829;0.02957
0.01015;0.03284
0.01243;0.03631
0.01522;0.03983
0.01863;0.04355
0.02281;0.04788
0.02793;0.0524
0.0342;0.05722
0.04187;0.06227
0.05126;0.06731
0.06277;0.07177
0.07685;0.07575
0.09409;0.0795
0.11519;0.0824
0.14104;0.0856
0.17268;0.08802
0.21142;0.08959
0.25884;0.08945
0.31691;0.0893
0.38801;0.08936
0.47506;0.08942
0.58163;0.08948
0.71212;0.08954
0.87188;0.0896
