X;Y
27.125;0.0063157
32.0;0.0067969
36.5;0.0072471
41.0;0.0076973
45.5;0.0081475
50.375;0.0086164
56.0;0.0090712
62.0;0.0095403
68.0;0.010015
74.0;0.010484
80.0;0.010955
86.0;0.011427
92.0;0.011896
98.0;0.012371
105.13;0.012796
113.38;0.013218
121.63;0.013644
129.88;0.014064
138.13;0.014485
146.38;0.014903
154.63;0.015293
162.88;0.015646
171.13;0.016004
179.38;0.016356
187.63;0.016709
195.88;0.017061
204.13;0.01738
212.38;0.017654
220.63;0.017925
228.88;0.018197
237.13;0.018463
245.38;0.018733
253.63;0.018941
261.88;0.019028
270.13;0.019106
278.38;0.019189
286.63;0.019271
294.88;0.019356
303.13;0.019433
311.38;0.019485
319.63;0.019547
327.88;0.019599
336.13;0.019657
344.38;0.019716
352.78;0.019767
360.88;0.019781
369.13;0.019787
377.38;0.019819
385.63;0.019822
393.88;0.019832
400.63;0.019848
