X;Y
0.001069;0.013681
0.0012466;0.015083
0.001429;0.016521
0.0016242;0.018018
0.0018303;0.019565
0.0020626;0.021234
0.0023243;0.023045
0.0026193;0.025011
0.0029517;0.027144
0.0033263;0.02946
0.0037484;0.03192
0.0042242;0.034624
0.0047603;0.037496
0.0054105;0.040819
0.0062023;0.044669
0.00711;0.048881
0.0080813;0.053162
0.0091853;0.057763
0.01053;0.063151
0.012071;0.068975
0.013838;0.075266
0.015863;0.08213
0.018186;0.089323
0.020848;0.097053
0.023902;0.105
0.027639;0.11398
0.032512;0.12424
0.038576;0.13485
0.046167;0.14612
0.055733;0.1571
0.067288;0.16733
0.081247;0.17616
0.098112;0.18367
0.11849;0.18998
0.14212;0.1947
0.17226;0.19843
0.20879;0.2009
0.25221;0.20264
0.30468;0.20363
0.36806;0.20405
0.44464;0.20447
0.53716;0.2044
0.64893;0.2044
0.78395;0.20447
0.94709;0.20419
1.1442;0.20419
1.3822;0.20447
1.6698;0.20447
2.0173;0.2044
2.437;0.20447
2.9441;0.20447
3.5567;0.20447
4.2967;0.20447
5.1908;0.20447
6.2709;0.20433
7.5756;0.20447
9.1787;0.20324
