X;Y
0.0;0.0
0.49259;0.0
0.53175;5.9256
0.6034;8.117
0.67504;9.1739
0.74669;12.35
0.81833;16.542
0.88672;21.144
0.94209;28.641
0.98768;35.667
1.0333;42.88
1.0789;49.718
1.1232;56.716
1.1505;62.461
1.1766;70.89
1.2091;78.172
1.2417;85.52
1.2743;93.131
1.3068;100.74
1.3394;108.68
1.372;116.75
1.4045;124.76
1.4371;132.96
1.4697;141.03
1.499;148.59
1.525;155.73
1.5511;162.86
1.5771;169.92
1.6032;177.05
1.6292;184.19
1.6553;191.24
1.6813;198.38
1.7074;205.68
1.7334;213.06
1.7595;220.45
1.7856;227.75
1.8116;235.21
1.8377;242.51
1.8637;249.89
1.8898;257.28
1.9158;264.74
1.9419;272.12
1.9679;279.59
1.994;287.05
2.02;294.43
2.0461;301.9
2.0721;309.28
2.0982;316.83
2.1242;324.21
2.1503;331.76
2.1763;339.3
2.2024;346.85
2.2285;354.32
2.2545;361.86
2.2806;369.33
2.3066;376.71
2.3327;384.26
2.3555;390.65
