X;Y
2.8727;0.03474
3.5572;0.034521
4.2368;0.034338
4.9406;0.034018
5.669;0.034011
6.3732;0.034006
7.0289;0.034096
7.7579;0.034533
9.9204;0.035637
10.576;0.035939
11.305;0.036249
12.01;0.036542
12.698;0.036769
13.443;0.037063
14.172;0.037317
14.876;0.037625
15.581;0.037983
16.294;0.038379
17.039;0.038779
17.744;0.039146
18.432;0.03951
19.177;0.03991
19.906;0.040267
20.57;0.040654
21.316;0.04104
22.02;0.041407
22.725;0.041755
23.454;0.042112
24.183;0.042469
24.887;0.042805
25.592;0.043137
26.102;0.043642
