X;Y
29.003;0.0035267
37.213;0.0040239
45.424;0.004539
53.635;0.0050601
61.845;0.0055812
70.056;0.0061203
78.266;0.0066534
86.477;0.0071865
94.688;0.0077197
102.9;0.0082408
111.11;0.0087499
119.32;0.0092411
127.53;0.0097383
135.74;0.010241
143.95;0.010739
152.16;0.011308
160.37;0.011973
168.58;0.012649
176.79;0.01332
185.0;0.014003
193.21;0.01468
201.43;0.015351
209.64;0.01607
217.85;0.016776
226.06;0.017471
234.27;0.018178
242.48;0.018903
250.69;0.019664
258.9;0.02061
267.11;0.02161
275.32;0.022599
283.53;0.023593
291.74;0.024575
299.95;0.025588
308.16;0.026756
316.37;0.02793
324.58;0.029104
332.8;0.030284
341.01;0.031458
349.22;0.032686
356.68;0.034145
363.4;0.035522
370.49;0.03699
377.95;0.038531
385.04;0.039988
391.76;0.041379
