X;Y
2.9266;0.016265
3.4628;0.017752
3.9507;0.019544
4.4143;0.021325
4.9267;0.023258
5.4631;0.024931
5.9995;0.026642
6.5359;0.02833
7.0722;0.029981
7.6084;0.031549
8.035;0.032843
8.5837;0.034661
9.1193;0.035795
9.656;0.037669
10.168;0.039445
10.656;0.041179
11.144;0.042857
11.632;0.044616
12.144;0.04632
12.68;0.047964
13.216;0.049622
13.753;0.051273
14.289;0.052931
14.801;0.054621
15.289;0.056397
15.777;0.058115
16.289;0.059924
16.802;0.061781
17.289;0.063483
17.802;0.065324
18.314;0.067149
18.802;0.068859
19.314;0.070725
19.826;0.072517
20.314;0.074244
20.802;0.07602
21.29;0.077705
21.802;0.079518
22.338;0.081072
22.874;0.082611
23.411;0.08412
23.947;0.085659
24.483;0.087191
25.019;0.08873
25.555;0.090254
26.047;0.091207
