X;Y
0.0;0.0
0.58956;0.0
0.71097;18.025
0.79192;31.815
0.84986;43.216
0.92682;59.847
0.98493;73.439
1.0488;89.315
1.1001;103.1
1.1629;121.22
1.2044;132.91
1.2496;147.04
1.2935;161.11
1.3298;173.48
1.3658;185.96
1.4107;201.69
1.4405;212.29
1.6117;277.52
1.6387;291.0
1.6973;316.0
1.7285;330.56
1.757;343.41
1.7812;354.45
1.8089;367.2
1.84;382.24
1.866;395.09
1.8902;406.6
1.9161;419.36
1.9421;432.49
1.968;446.0
1.9939;459.52
2.0216;473.89
2.0493;489.22
2.0752;503.11
2.1012;517.01
2.1228;529.0
2.1479;543.28
2.1695;555.56
2.1946;570.31
2.2162;582.12
