X;Y
2.57994;0.02539
2.94181;0.02459
3.30366;0.02379
3.70182;0.02295
4.17278;0.02216
4.67996;0.0213
5.18717;0.02044
5.69434;0.01958
6.23785;0.0187
6.92704;0.01792
7.68894;0.01713
8.45077;0.01632
9.20905;0.01572
10.05564;0.01521
10.81829;0.01476
11.6869;0.01436
12.51842;0.01398
13.32576;0.01364
14.18989;0.0134
14.98943;0.01318
15.87623;0.01296
16.66124;0.01275
17.54804;0.01252
18.33304;0.01231
19.18107;0.0121
19.9776;0.01189
21.04333;0.01165
21.95545;0.01144
22.91257;0.01123
23.84852;0.01103
24.67803;0.01086
25.59015;0.01065
26.53514;0.01043
27.49226;0.01021
