X;Y
38.74;0.0078431
54.056;0.010378
66.804;0.012365
80.588;0.014334
97.708;0.01659
113.47;0.018666
128.48;0.020701
144.49;0.022826
159.25;0.02484
173.13;0.02681
189.81;0.029134
204.12;0.031087
218.42;0.033125
231.69;0.034924
247.03;0.037013
262.63;0.039172
278.02;0.041256
294.03;0.04349
309.45;0.045663
323.54;0.047679
338.06;0.049792
352.36;0.05183
366.88;0.053874
379.67;0.055715
395.46;0.057805
411.25;0.059873
426.48;0.061953
443.6;0.064208
459.21;0.066378
472.25;0.068291
488.68;0.070717
503.21;0.072847
517.3;0.074914
531.56;0.077044
544.31;0.079134
557.06;0.081223
569.81;0.083296
584.83;0.085698
596.86;0.087253
