X;Y
0.0010949;0.0059086
0.0013118;0.00655
0.00151;0.0071873
0.0017556;0.0079513
0.0020412;0.0087909
0.0023496;0.0096706
0.0027046;0.010638
0.0031132;0.011681
0.0035835;0.012833
0.0041665;0.014198
0.0048932;0.015776
0.0057466;0.017529
0.0066813;0.019308
0.007768;0.021266
0.0091226;0.023591
0.010714;0.026156
0.012582;0.028952
0.014775;0.032012
0.017351;0.035376
0.020376;0.038943
0.023927;0.042776
0.028379;0.04709
0.03434;0.052004
0.04239;0.05738
0.05285;0.063024
0.065881;0.068046
0.082114;0.072679
0.10233;0.076429
0.12752;0.079479
0.15888;0.081797
0.19913;0.083383
0.2451;0.084303
0.30715;0.084823
0.38069;0.084963
0.47564;0.085534
0.59102;0.08553
0.7365;0.085572
0.92106;0.085572
1.1472;0.085333
1.429;0.085572
1.7658;0.085572
2.2127;0.085572
2.7343;0.085572
3.4263;0.085534
4.2848;0.085572
5.3053;0.085572
6.648;0.085572
8.2149;0.085572
10.11;0.084906
