X;Y
0.0;4.2124e-09
0.030136;3.6954e-09
1.3168;3.0975e-09
5.7743;2.6994e-09
13.208;2.5612e-09
19.009;2.5469e-09
27.097;2.5469e-09
33.806;2.4967e-09
40.882;2.4967e-09
47.959;2.4967e-09
55.036;2.4967e-09
62.113;2.4967e-09
69.19;2.4967e-09
76.266;2.4967e-09
83.343;2.4967e-09
90.42;2.4967e-09
97.497;2.4967e-09
104.57;2.4967e-09
111.65;2.4967e-09
118.73;2.4967e-09
125.8;2.4967e-09
132.88;2.4967e-09
139.96;2.4967e-09
147.03;2.4967e-09
154.11;2.4967e-09
161.19;2.4967e-09
168.26;2.4967e-09
175.34;2.4982e-09
182.42;2.4967e-09
189.49;2.4967e-09
196.57;2.4982e-09
203.33;2.4967e-09
211.52;2.5301e-09
218.24;2.5282e-09
225.92;2.5191e-09
236.48;2.5282e-09
245.08;2.4819e-09
251.9;2.4982e-09
258.98;2.4967e-09
266.05;2.4967e-09
273.13;2.4982e-09
280.21;2.4967e-09
287.28;2.4967e-09
294.36;2.4967e-09
301.44;2.4982e-09
308.51;2.4967e-09
315.59;2.4967e-09
322.67;2.4982e-09
329.74;2.4967e-09
336.82;2.4982e-09
343.9;2.4967e-09
350.97;2.4982e-09
358.05;2.4967e-09
365.13;2.4982e-09
372.2;2.4982e-09
379.28;2.4982e-09
386.36;2.4967e-09
393.43;2.4967e-09
400.51;2.4997e-09
407.59;2.4967e-09
414.67;2.4982e-09
421.74;2.4982e-09
428.82;2.4982e-09
435.9;2.4967e-09
442.97;2.4967e-09
450.05;2.4997e-09
457.13;2.4967e-09
464.2;2.4967e-09
471.28;2.4967e-09
478.36;2.4982e-09
485.43;2.4967e-09
492.51;2.4982e-09
497.66;2.5034e-09
