X;Y
0.0;3.435e-08
-0.29154;3.1834e-08
0.48048;2.91e-08
1.2096;2.6701e-08
1.6385;2.4703e-08
2.6035;2.2758e-08
3.2469;2.0704e-08
3.8902;1.9221e-08
5.1126;1.7227e-08
5.9811;1.5649e-08
7.1069;1.4336e-08
7.5894;1.3232e-08
8.5544;1.2305e-08
9.6803;1.1298e-08
11.84;1.0099e-08
14.138;9.0735e-09
17.4;8.035e-09
20.51;7.6281e-09
23.834;7.0573e-09
27.051;3.2991e-09
27.28;5.9941e-09
27.28;4.0218e-09
27.372;6.6636e-09
27.515;5.011e-09
27.515;2.9866e-09
27.515;2.0058e-09
27.533;2.4967e-09
27.694;4.4469e-09
27.694;2.2602e-09
27.694;1.5796e-09
27.694;1.4587e-09
27.694;1.3471e-09
27.694;1.244e-09
27.694;1.1488e-09
27.694;1.0609e-09
27.694;9.7968e-10
27.694;7.7153e-10
27.801;7.0934e-10
27.908;3.5725e-09
27.908;1.7449e-09
27.908;5.9761e-10
28.016;9.0471e-10
28.016;8.2775e-10
28.144;3.7187e-10
28.337;6.5361e-10
28.337;4.7534e-10
28.337;4.3896e-10
28.337;4.0537e-10
28.337;5.5354e-09
28.337;2.7036e-09
28.475;5.3059e-10
29.21;3.3158e-10
30.482;2.9612e-10
31.768;2.6718e-10
33.055;2.4375e-10
34.342;2.2286e-10
35.628;2.0445e-10
36.915;1.8818e-10
38.202;1.7282e-10
40.239;1.5714e-10
42.169;1.4257e-10
44.099;1.3007e-10
46.351;1.1938e-10
48.924;1.0961e-10
51.605;1.022e-10
55.312;9.4622e-11
59.218;8.8715e-11
63.078;8.3665e-11
66.938;7.9869e-11
70.798;7.6752e-11
74.658;7.3838e-11
78.518;7.1507e-11
82.378;6.9481e-11
86.238;6.7886e-11
90.098;6.6181e-11
93.958;6.4662e-11
97.818;6.381e-11
101.68;6.2691e-11
105.54;6.1659e-11
109.4;6.0981e-11
113.26;5.9713e-11
117.12;5.8861e-11
120.98;5.8085e-11
124.84;5.7383e-11
128.7;5.6627e-11
132.56;5.6066e-11
136.42;5.5388e-11
140.28;5.4779e-11
144.14;5.4296e-11
148.0;5.3878e-11
151.86;5.3226e-11
155.72;5.2758e-11
159.58;5.2351e-11
163.44;5.1775e-11
167.3;5.1262e-11
171.16;5.1149e-11
175.02;5.0531e-11
178.88;5.0252e-11
182.74;4.981e-11
186.6;4.9425e-11
190.46;4.9153e-11
194.32;4.8882e-11
198.18;4.8451e-11
202.04;4.8025e-11
205.26;4.7866e-11
210.06;4.7124e-11
213.21;4.6516e-11
215.09;4.6516e-11
217.61;4.5917e-11
221.38;4.5917e-11
224.53;4.5917e-11
225.79;4.5325e-11
227.67;4.5325e-11
229.56;4.5325e-11
231.45;4.5325e-11
233.33;4.5325e-11
236.48;4.5325e-11
238.99;4.5325e-11
240.88;4.4741e-11
243.4;4.4741e-11
246.11;4.4615e-11
250.93;4.4793e-11
254.79;4.4595e-11
258.65;4.4202e-11
262.51;4.4202e-11
266.37;4.4007e-11
270.23;4.362e-11
274.09;4.362e-11
277.95;4.362e-11
281.81;4.3045e-11
285.67;4.3045e-11
289.53;4.3045e-11
293.39;4.2855e-11
297.25;4.2477e-11
301.12;4.2477e-11
304.98;4.2477e-11
308.84;4.2383e-11
312.7;4.1917e-11
316.56;4.1917e-11
320.42;4.1917e-11
324.28;4.1825e-11
328.14;4.164e-11
332.0;4.1365e-11
335.86;4.1365e-11
339.72;4.1365e-11
343.58;4.1273e-11
347.44;4.1091e-11
351.3;4.0955e-11
355.16;4.082e-11
359.02;4.082e-11
362.88;4.082e-11
366.74;4.082e-11
370.6;4.082e-11
374.46;4.0774e-11
378.32;4.082e-11
382.18;4.0774e-11
386.04;4.0415e-11
389.9;4.0281e-11
393.76;4.0281e-11
397.62;4.0281e-11
401.48;4.0326e-11
405.34;4.0281e-11
409.2;4.0281e-11
413.06;4.0281e-11
416.92;4.0281e-11
420.78;4.0281e-11
424.64;4.0281e-11
428.5;4.0281e-11
432.36;4.0281e-11
436.22;4.0281e-11
440.08;4.0281e-11
443.94;4.0281e-11
447.8;4.0237e-11
451.66;4.0237e-11
455.52;4.0281e-11
459.38;4.0281e-11
463.24;4.0281e-11
467.1;4.0281e-11
470.96;4.0281e-11
474.82;4.0237e-11
478.68;4.0281e-11
482.54;4.0281e-11
486.4;4.0281e-11
490.26;4.0281e-11
494.12;4.0281e-11
497.66;4.0281e-11
