X;Y
0.0;1.7472e-09
-0.61321;1.9148e-09
-0.29154;1.6329e-09
-0.16287;1.1611e-09
0.030136;1.4831e-09
0.030136;1.3696e-09
0.030136;1.2648e-09
0.35181;1.0727e-09
0.67348;9.9277e-10
0.67348;9.1679e-10
0.67348;8.4663e-10
0.99515;7.8496e-10
0.99515;7.3043e-10
1.2525;6.6763e-10
1.424;6.076e-10
1.9602;5.428e-10
1.9602;4.8975e-10
1.9602;4.5227e-10
2.2818;3.997e-10
2.6035;3.5265e-10
2.6035;3.2566e-10
3.0324;3.0107e-10
3.0539;2.4679e-10
3.1825;2.7081e-10
3.8902;1.9669e-10
4.0281;2.1934e-10
4.3405;1.6377e-10
4.5335;1.7865e-10
4.8552;1.5117e-10
5.1769;1.3976e-10
5.1769;1.2906e-10
5.713;1.1581e-10
6.1419;1.0659e-10
6.4636;9.8979e-11
7.1069;8.9207e-11
7.98;7.8803e-11
9.3586;7.3577e-11
10.388;6.9681e-11
13.862;6.5642e-11
17.079;6.0329e-11
18.044;5.5296e-11
19.009;5.0542e-11
19.395;4.6242e-11
20.081;4.295e-11
20.424;3.9435e-11
21.123;3.5087e-11
21.711;2.849e-11
21.968;3.128e-11
22.354;2.4072e-11
22.547;2.6231e-11
22.998;1.9313e-11
23.328;2.1631e-11
23.641;1.4929e-11
23.834;1.6285e-11
24.027;1.7868e-11
24.284;1.1695e-11
24.477;1.3883e-11
24.477;1.2825e-11
24.799;1.0925e-11
25.013;1.0009e-11
25.121;9.1736e-12
25.121;8.4716e-12
25.228;7.1847e-12
25.442;7.8649e-12
25.7;6.5575e-12
25.764;5.9997e-12
25.764;5.5405e-12
25.764;5.1165e-12
25.871;4.3691e-12
26.086;4.7627e-12
26.407;3.5053e-12
26.407;3.2371e-12
26.514;2.9729e-12
26.545;3.9127e-12
27.051;2.6646e-12
27.051;2.4095e-12
27.051;2.2251e-12
27.051;2.0548e-12
27.051;1.8976e-12
27.372;1.7442e-12
27.694;1.6168e-12
28.291;1.4463e-12
29.486;1.3105e-12
33.484;1.3573e-12
37.344;1.3861e-12
41.204;1.3846e-12
45.064;1.3846e-12
48.924;1.3724e-12
52.784;1.3633e-12
56.644;1.3483e-12
60.504;1.3394e-12
64.365;1.3306e-12
68.225;1.3189e-12
72.085;1.313e-12
75.945;1.313e-12
79.805;1.3101e-12
83.665;1.3e-12
87.525;1.313e-12
91.385;1.3145e-12
95.245;1.3618e-12
99.105;1.4472e-12
102.97;1.5329e-12
106.83;1.6164e-12
110.69;1.7008e-12
114.55;1.7856e-12
118.41;1.8602e-12
122.27;1.94e-12
126.13;2.0232e-12
129.99;2.0961e-12
133.85;2.1788e-12
137.71;2.2548e-12
141.57;2.3309e-12
145.43;2.4122e-12
149.29;2.488e-12
153.15;2.5663e-12
157.01;2.644e-12
160.87;2.7182e-12
164.73;2.7943e-12
168.59;2.8695e-12
172.45;2.9532e-12
176.31;3.0226e-12
180.17;3.0936e-12
184.03;3.1909e-12
187.89;3.2658e-12
191.75;3.3463e-12
195.61;3.4249e-12
199.47;3.5015e-12
203.33;3.5798e-12
206.87;3.6801e-12
210.69;3.7553e-12
213.84;3.854e-12
217.61;3.9044e-12
222.01;3.9553e-12
225.79;4.0593e-12
230.19;4.1123e-12
233.96;4.1123e-12
238.99;4.3313e-12
243.4;4.3879e-12
246.43;4.451e-12
250.29;4.5255e-12
254.15;4.6012e-12
258.01;4.6781e-12
261.87;4.7564e-12
265.73;4.8359e-12
269.59;4.9168e-12
273.45;4.9825e-12
277.31;5.0658e-12
281.17;5.1335e-12
285.03;5.2194e-12
288.89;5.3008e-12
292.75;5.3775e-12
296.61;5.4554e-12
300.47;5.5405e-12
304.33;5.6145e-12
308.19;5.6832e-12
312.05;5.7592e-12
315.91;5.849e-12
319.77;5.9271e-12
323.63;5.9864e-12
327.49;6.0731e-12
331.35;6.1338e-12
335.21;6.2227e-12
339.07;6.2988e-12
342.93;6.3759e-12
346.79;6.4539e-12
350.65;6.5329e-12
354.51;6.6129e-12
358.37;6.6864e-12
362.23;6.7607e-12
366.09;6.851e-12
369.95;6.9119e-12
373.81;6.9965e-12
377.67;7.0743e-12
381.53;7.153e-12
385.39;7.2086e-12
389.25;7.2968e-12
393.11;7.3698e-12
396.97;7.4682e-12
400.83;7.5429e-12
404.69;7.6015e-12
408.55;7.6691e-12
412.41;7.7801e-12
416.27;7.8579e-12
420.13;7.9102e-12
423.99;7.9893e-12
427.85;8.0871e-12
431.71;8.15e-12
435.57;8.2042e-12
439.43;8.2863e-12
443.29;8.3784e-12
447.15;8.4435e-12
451.01;8.528e-12
454.87;8.6133e-12
458.73;8.6802e-12
462.59;8.7767e-12
466.45;8.8547e-12
470.31;8.9038e-12
474.17;8.9928e-12
478.03;9.0727e-12
481.89;9.123e-12
485.75;9.2347e-12
489.61;9.2654e-12
493.47;9.3581e-12
497.33;9.4935e-12
499.59;9.2962e-12
