X;Y
0.0;0.0
0.60922;0.0
0.61417;0.15327
0.62208;0.1883
0.62735;0.22538
0.63395;0.27176
0.64054;0.32583
0.64713;0.3879
0.65373;0.45918
0.66032;0.54048
0.66691;0.63079
0.67482;0.74354
0.68175;0.86778
0.68834;0.99288
0.69493;1.1232
0.70186;1.2859
0.71142;1.4963
0.72048;1.7505
0.72955;2.0285
0.73944;2.3111
0.74933;2.6231
0.76087;2.9999
0.77405;3.4519
0.78724;3.9105
0.80208;4.4616
0.81856;5.0888
0.83669;5.7912
0.85647;6.5855
0.8779;7.4624
0.90262;8.4977
0.93064;9.6837
0.96196;11.054
0.99493;12.487
1.0295;14.04
1.0658;15.67
1.1021;17.336
1.1383;19.021
1.1746;20.689
1.2109;22.398
1.2471;24.074
1.2834;25.783
1.3197;27.456
1.3559;29.238
1.3922;31.34
1.4321;33.213
1.4657;35.313
1.4927;35.698
