X;Y
0.0;0.0
0.39818;0.34623
0.70405;0.33687
1.0099;0.32752
1.3158;0.31817
1.6216;0.30881
1.9275;0.29946
2.2334;0.29011
2.5392;0.28075
2.8451;0.2714
3.151;0.26204
3.4568;0.25269
3.7627;0.24334
4.0686;0.23398
4.3744;0.22463
4.6803;0.21528
4.9862;0.20592
5.292;0.19657
5.5979;0.18722
5.9037;0.17786
6.2096;0.16851
6.5155;0.15915
6.8213;0.1498
7.1272;0.14045
7.4331;0.13109
7.7389;0.12174
8.0448;0.11239
8.3507;0.10303
8.6565;0.093678
8.9624;0.084325
9.2683;0.074971
9.5741;0.065617
9.88;0.056264
10.186;0.04691
10.492;0.037556
10.798;0.028203
11.103;0.018849
11.409;0.0094955
11.715;0.00014184
12.021;0.0092118
12.327;0.018565
12.633;0.027919
12.939;0.037273
13.245;0.046626
13.55;0.05598
13.856;0.065334
14.162;0.074687
14.468;0.084041
14.774;0.26327
15.08;0.47647
15.386;0.48582
15.691;0.23923
15.997;0.23273
16.303;0.14016
16.609;0.14952
16.915;0.15887
17.221;0.16822
17.527;0.17758
17.832;0.18693
18.138;0.19629
18.444;0.20564
18.75;0.21499
19.056;0.22435
19.362;0.2337
19.668;0.24305
19.904;0.25028
