X;Y
0.0;0.063048
0.55955;0.21279
0.89241;0.35144
1.2882;0.50535
1.6931;0.66665
2.0889;0.81924
2.4307;0.96456
2.8266;1.1182
3.2314;1.2782
3.6362;1.4402
4.041;1.6015
4.4458;1.7634
4.8507;1.9247
5.2555;2.0873
5.6513;2.2392
5.9932;2.3839
6.389;2.5382
6.7938;2.7001
7.1896;2.8537
7.5315;3.0018
7.9183;3.1451
8.2602;3.2904
8.656;3.4444
9.0608;3.6057
9.4566;3.7575
9.7985;3.9042
10.194;4.0591
10.599;4.2173
11.004;4.3786
11.409;4.5405
11.814;4.7024
12.209;4.8557
12.551;5.0003
12.947;5.1533
13.352;5.3169
13.757;5.4735
14.303;5.6538
15.214;5.696
16.105;5.6961
16.995;5.6968
17.886;5.7027
18.777;5.7022
19.667;5.6967
20.558;5.6969
21.448;5.6971
22.339;5.6972
23.23;5.6974
24.12;5.6975
25.011;5.6977
25.901;5.6978
26.792;5.6923
27.683;5.6982
28.573;5.6927
29.464;5.707
30.411;5.7296
31.185;5.7811
31.933;5.9691
32.761;6.0794
33.431;6.2401
34.16;6.3841
34.888;6.5315
35.577;6.6707
36.224;6.8046
36.872;6.9409
37.52;7.0757
38.168;7.2127
38.815;7.349
39.463;7.4877
40.111;7.6255
40.758;7.7634
41.406;7.9012
42.054;8.0398
42.702;8.1777
43.349;8.3163
43.997;8.4573
44.645;8.5967
45.292;8.7353
45.94;8.8755
46.588;9.0149
47.236;9.1543
47.883;9.2945
48.531;9.4331
49.179;9.5733
49.826;9.7119
50.474;9.8521
51.122;9.9931
51.77;10.134
52.417;10.273
53.065;10.413
53.672;10.543
54.279;10.687
54.927;10.826
55.615;10.972
56.304;11.113
56.951;11.254
57.599;11.393
58.247;11.534
58.854;11.669
59.502;11.809
60.271;11.963
