X;Y
-48.379;0.63246
-45.185;0.64482
-41.991;0.65678
-38.797;0.66954
-35.604;0.68309
-32.41;0.69585
-29.216;0.7102
-26.023;0.72455
-22.83;0.7389
-19.637;0.75325
-16.443;0.7676
-13.251;0.78435
-10.058;0.80069
-6.8649;0.81624
-3.6723;0.83298
-0.47968;0.84973
2.7126;0.86767
5.9049;0.88561
9.0969;0.90434
12.289;0.92308
15.481;0.94221
18.673;0.96175
21.864;0.98208
25.056;1.0036
28.247;1.0235
31.439;1.0455
34.63;1.0674
37.821;1.0901
41.012;1.1124
44.202;1.136
47.393;1.1603
50.583;1.1846
53.774;1.2089
56.964;1.2348
60.154;1.2603
63.344;1.2874
66.534;1.313
69.723;1.3417
72.912;1.3704
75.836;1.3957
78.759;1.423
81.948;1.4517
84.872;1.4785
87.529;1.5043
90.451;1.533
93.374;1.5617
96.031;1.589
98.688;1.6163
101.34;1.643
104.0;1.6708
106.66;1.7
109.31;1.7282
111.97;1.7574
114.63;1.787
117.28;1.8172
119.94;1.8473
122.33;1.8751
124.72;1.9033
127.11;1.9319
129.5;1.9612
131.89;1.9899
134.01;2.0162
136.14;2.0431
138.26;2.0694
140.65;2.1004
143.04;2.131
145.16;2.1597
147.29;2.1872
148.88;2.2051
