X;Y
1.0152;5.2122
1.095;5.5792
1.1812;6.0287
1.2741;6.5021
1.3743;6.9995
1.4824;7.5491
1.5991;8.1574
1.7249;8.7813
1.8605;9.4709
2.0069;10.253
2.1648;11.017
2.3351;11.904
2.5188;12.863
2.7169;13.847
2.9306;14.963
3.1612;16.169
3.4099;17.405
3.6781;18.701
3.9928;20.434
4.2795;21.754
4.6162;23.418
4.9556;25.252
5.3711;27.343
5.7936;29.546
6.2493;31.866
6.7409;34.304
7.2712;37.208
7.8929;38.52
8.4602;43.118
9.1258;46.592
9.8437;50.25
10.618;54.094
11.453;58.563
12.354;63.162
13.326;68.122
14.465;70.045
15.505;79.091
16.725;85.625
18.041;91.826
19.46;99.412
20.991;105.41
22.642;106.41
24.423;106.21
26.345;106.21
28.417;105.01
30.48;107.31
33.064;107.42
35.665;107.42
38.47;107.22
41.497;107.22
44.761;107.42
48.282;107.02
52.08;107.42
56.177;107.42
60.597;107.02
65.364;107.42
70.506;107.02
76.052;107.42
82.035;107.02
88.488;107.02
95.449;106.81
102.96;101.69
111.06;94.111
119.79;87.589
126.79;82.449
134.26;75.404
139.63;71.516
149.57;67.829
155.56;65.477
161.79;63.207
166.63;59.948
175.01;56.858
183.82;53.926
196.9;50.252
214.08;48.57
230.92;45.375
249.08;41.992
268.68;39.008
289.81;36.168
312.61;33.535
337.2;31.034
363.73;28.829
392.34;26.68
423.21;24.69
456.5;22.979
492.41;21.186
531.15;19.755
572.93;18.317
614.11;16.881
629.81;0.001977
629.81;0.089778
629.81;0.0023041
630.95;0.1619
632.47;0.0013811
632.8;0.014301
633.0;8.7251
633.0;5.8669
633.0;1.481
633.0;0.57261
633.0;0.056654
633.0;0.004859
633.8;1.2697
633.8;0.80555
633.8;0.11456
633.8;0.09999
633.8;0.078936
633.8;0.011794
633.8;0.010293
633.8;0.0089838
633.8;0.0078409
633.8;0.0068628
633.8;0.0016029
633.8;11.904
633.8;10.39
633.8;3.4982
633.8;2.6647
633.8;2.3257
633.8;1.7716
633.8;0.3461
633.8;0.034243
634.6;7.0981
634.6;0.47652
634.6;0.047253
634.6;0.001195
635.13;0.29363
635.13;0.029051
635.13;0.019314
635.13;14.165
635.52;0.97445
636.2;0.68033
636.2;0.39387
636.2;0.19856
636.2;0.13291
636.2;0.067097
636.2;0.038969
636.2;0.0057992
636.2;0.0010115
636.47;0.0039335
637.81;4.8191
637.81;3.993
637.81;3.0416
637.81;2.0222
637.81;0.23942
637.81;0.023688
637.81;0.0032871
637.81;0.0028689
637.81;0.0025039
637.81;1.1514
637.81;0.016953
