X;Y
1.0652e-05;0.023885
1.2499e-05;0.025332
1.7346e-05;0.028463
2.0847e-05;0.031724
2.4855e-05;0.034157
2.9634e-05;0.037197
3.505e-05;0.040188
4.1127e-05;0.043466
4.7872e-05;0.046981
5.5723e-05;0.050773
6.4863e-05;0.055107
7.4303e-05;0.05943
8.5118e-05;0.064202
9.7508e-05;0.069353
0.00011081;0.074768
0.00012898;0.082032
0.00015134;0.089248
0.00017337;0.096538
0.00019977;0.10604
0.00022669;0.11424
0.00025459;0.12201
0.00029574;0.13097
0.00035079;0.14363
0.00042103;0.1575
0.00050198;0.17124
0.00059849;0.18485
0.00070787;0.19906
0.00083725;0.21499
0.00099822;0.23277
0.0011713;0.25298
0.0013634;0.2722
0.001587;0.29454
0.001877;0.31762
0.0022201;0.34142
0.0026469;0.37108
0.0031558;0.39954
0.0037128;0.42983
0.0042759;0.46286
0.005098;0.4948
0.0060782;0.52637
0.0072468;0.55976
0.00864;0.59995
0.010301;0.63864
0.012282;0.67081
0.014643;0.7092
0.017458;0.74736
0.020677;0.79674
0.024817;0.83635
0.029588;0.86835
0.035277;0.89533
0.042059;0.91895
0.050145;0.9389
0.059786;0.95368
0.071281;0.96367
0.084986;0.96965
0.095812;0.97059
