X;Y
0.0;5.8059e-08
0.12382;5.7929e-08
0.14336;5.7881e-08
0.16599;5.7558e-08
0.19219;5.7328e-08
0.22253;5.6978e-08
0.25765;5.6539e-08
0.29832;5.5896e-08
0.34403;5.5044e-08
0.39993;5.4111e-08
0.46306;5.2846e-08
0.53615;5.1309e-08
0.62077;4.9737e-08
0.71876;4.824e-08
0.83221;4.6862e-08
0.96357;4.5282e-08
1.1157;4.169e-08
1.2918;4.0628e-08
1.4956;4.0166e-08
1.7317;3.9921e-08
2.0051;3.9867e-08
2.3215;3.9686e-08
2.688;3.9612e-08
3.1123;3.9412e-08
3.6035;3.9254e-08
4.1723;3.9118e-08
4.8308;3.9107e-08
5.5934;3.8909e-08
6.4762;3.8816e-08
7.4984;3.8619e-08
8.682;3.8608e-08
10.041;3.8242e-08
11.639;3.8586e-08
13.476;3.8575e-08
15.603;3.8197e-08
18.066;3.8105e-08
20.918;3.8094e-08
24.219;3.7962e-08
28.042;3.763e-08
32.469;3.7619e-08
37.593;3.7609e-08
43.527;3.7598e-08
47.782;3.7591e-08
