X;Y
0.0;3.6072e-08
0.12382;3.6196e-08
0.14336;3.607e-08
0.16599;3.5945e-08
0.19219;3.5839e-08
0.22253;3.5715e-08
0.25765;3.5497e-08
0.29832;3.5261e-08
0.34541;3.4971e-08
0.39993;3.4555e-08
0.46306;3.3963e-08
0.53615;3.3274e-08
0.62077;3.2444e-08
0.71876;3.1451e-08
0.83221;3.0536e-08
0.932;2.8061e-08
0.98302;2.5084e-08
1.0073;2.0824e-08
1.0231;1.8028e-08
1.0368;1.5486e-08
1.0484;1.2769e-08
1.0625;1.0366e-08
1.0791;8.8089e-09
1.0936;7.4135e-09
1.1231;6.0064e-09
1.1612;4.9814e-09
1.2578;4.1069e-09
1.437;3.6801e-09
1.6639;3.2906e-09
1.9265;2.9674e-09
2.2306;2.6946e-09
2.5827;2.4598e-09
2.9903;2.2563e-09
3.4623;2.074e-09
4.0088;1.9115e-09
4.6416;1.7645e-09
5.3742;1.6298e-09
6.2225;1.5077e-09
7.2046;1.3947e-09
8.3418;1.2923e-09
9.68;1.1998e-09
11.183;1.1016e-09
12.948;1.0121e-09
14.992;9.7124e-10
17.458;9.1654e-10
20.098;8.2341e-10
23.27;7.6537e-10
26.944;7.1105e-10
31.196;6.5989e-10
36.12;6.1305e-10
41.822;5.6985e-10
46.837;5.3861e-10
