X;Y
0.0;1.4974e-08
0.12382;1.4926e-08
0.14336;1.4922e-08
0.16599;1.4918e-08
0.19219;1.4914e-08
0.22253;1.4909e-08
0.25765;1.4747e-08
0.29832;1.4728e-08
0.34726;1.4569e-08
0.39993;1.4379e-08
0.46306;1.4118e-08
0.53615;1.3765e-08
0.62077;1.3337e-08
0.71876;1.2826e-08
0.83221;1.2321e-08
0.932;1.123e-08
1.0073;8.3668e-09
1.0231;7.2644e-09
1.0368;6.1815e-09
1.0507;5.1723e-09
1.0648;4.2923e-09
1.0791;3.5704e-09
1.0936;3.0491e-09
1.1231;2.5362e-09
1.1612;2.1427e-09
1.2494;1.8092e-09
1.418;1.6253e-09
1.6418;1.4441e-09
1.901;1.2912e-09
2.1719;1.1744e-09
2.7976;9.9429e-10
3.2392;9.2421e-10
3.7504;8.305e-10
4.3424;7.63e-10
5.0278;7.0247e-10
5.8214;6.4743e-10
6.7403;5.983e-10
7.8042;5.5172e-10
9.0361;5.1039e-10
10.416;4.7362e-10
12.114;4.3794e-10
14.026;4.0557e-10
16.24;3.7658e-10
18.803;3.4911e-10
21.771;3.2399e-10
25.207;3.0116e-10
29.186;2.7934e-10
33.793;2.5938e-10
39.126;2.4084e-10
45.302;2.2363e-10
