X;Y
0.0;0.0
0.54157;1.6459
0.58365;2.1592
0.62573;3.2414
0.70984;8.2067
0.7519;10.388
0.79395;13.585
0.83599;17.579
0.87802;22.47
0.92004;27.469
0.96206;33.024
1.0041;39.474
1.0461;46.793
1.0894;52.395
1.1221;60.629
1.1606;67.244
1.1949;74.825
1.2255;81.835
1.2598;90.249
1.2832;96.879
1.3108;102.99
1.3445;111.96
1.3742;119.08
1.4009;126.67
1.4276;133.9
1.4543;141.14
1.484;148.45
1.5115;158.33
1.5458;167.38
1.5725;175.33
1.5973;182.45
1.6202;189.98
1.643;197.39
1.6659;204.69
1.6888;212.1
1.7116;220.19
1.7345;227.99
1.7573;235.58
1.7802;243.27
2.004;331.43
2.022;340.42
2.0443;348.99
2.0562;356.85
2.0733;364.96
2.093;373.68
2.1057;380.3
2.1209;387.78
2.1399;395.91
2.1513;399.42
