X;Y
24.692;0.0056755
34.703;0.0063905
45.667;0.0071687
56.155;0.0079327
66.642;0.0086827
77.13;0.0093878
87.617;0.010027
98.105;0.010607
108.59;0.011163
119.08;0.011685
129.57;0.012185
140.06;0.012651
150.54;0.013086
161.03;0.013455
171.52;0.013793
182.01;0.0141
192.49;0.014375
202.98;0.014637
213.75;0.014888
223.96;0.015087
234.44;0.015293
244.93;0.015492
255.42;0.015681
265.91;0.015853
276.39;0.016024
286.88;0.016199
297.37;0.016367
307.86;0.016532
318.34;0.016696
328.83;0.016857
339.32;0.017025
349.81;0.017186
360.29;0.017358
370.78;0.017526
381.27;0.017694
391.76;0.017866
398.91;0.017992
