X;Y
1.3158;0.014366
1.6094;0.013917
1.903;0.013441
2.1966;0.012987
2.4902;0.012571
2.7838;0.01221
3.0774;0.011868
3.371;0.011563
3.6646;0.011253
3.9552;0.010954
4.2518;0.010679
4.5454;0.010397
4.839;0.010152
5.1593;0.009925
5.4529;0.0097029
5.7465;0.0094994
6.0401;0.0093236
6.3337;0.009171
6.6273;0.0090137
6.9209;0.0088842
7.2145;0.0087454
7.5081;0.0086159
7.8017;0.0085048
8.0953;0.0083984
8.3889;0.0082874
8.6825;0.0081857
8.9761;0.0080839
9.2697;0.0079729
9.5633;0.0078572
9.8569;0.0077601
10.151;0.0076629
10.444;0.0075612
10.738;0.0074548
11.031;0.007353
11.325;0.0072512
11.619;0.0071356
11.899;0.0070246
