X;Y
0.0;0.0
0.36901;0.0
0.41613;0.30315
0.46326;0.95346
0.51003;1.5525
0.69841;10.305
0.74914;15.341
0.79337;20.624
0.84056;25.494
0.8888;29.36
0.93494;36.16
0.98276;42.141
1.0281;49.489
1.1072;63.113
1.1458;69.07
1.184;76.007
1.2269;82.578
1.291;95.771
1.5274;145.76
1.6245;167.63
1.6587;174.55
1.6915;182.49
1.7231;190.0
1.7468;197.72
1.7855;204.66
1.8156;212.85
1.8457;219.95
1.8779;227.31
1.9101;235.16
1.9423;241.79
1.966;248.65
2.0209;261.78
2.0562;269.37
2.0863;276.66
2.1745;298.29
2.241;312.61
2.2733;320.33
2.3055;327.51
2.3377;334.69
2.371;342.3
2.4022;349.59
2.4688;364.29
2.5268;378.86
2.5569;386.33
2.592;393.26
2.6235;399.61
