X;Y
22.404;0.0054243
31.366;0.0063768
39.47;0.007224
47.097;0.0080303
54.724;0.0088415
69.026;0.010357
77.13;0.011224
85.71;0.012098
94.291;0.012951
102.87;0.013807
111.45;0.014668
119.56;0.01544
127.66;0.016263
136.24;0.017082
145.3;0.017964
154.36;0.018808
163.41;0.019625
172.95;0.020449
182.48;0.021278
192.02;0.022049
202.03;0.022889
212.51;0.023722
223.0;0.024535
233.49;0.025361
243.98;0.026153
254.46;0.026965
264.95;0.027753
275.44;0.028545
285.93;0.029333
296.42;0.030118
306.9;0.030815
316.65;0.031632
324.81;0.032246
334.55;0.032948
345.04;0.033722
355.53;0.034518
366.01;0.035222
383.18;0.036566
393.66;0.037358
399.86;0.0378
