X;Y
1.3158;0.022716
1.6094;0.022637
1.903;0.022527
2.1966;0.022493
3.0774;0.022355
3.371;0.022341
3.6646;0.022341
3.9582;0.022332
4.2518;0.022341
4.5454;0.022341
4.839;0.022341
5.1326;0.022341
5.4262;0.022341
5.7278;0.022427
6.0112;0.022493
6.307;0.022503
6.6006;0.022549
6.8942;0.022618
7.1878;0.022679
7.4814;0.022762
7.775;0.022836
8.0686;0.022896
8.3622;0.022965
8.6558;0.023058
8.9574;0.023135
9.243;0.023215
9.5366;0.023289
9.8302;0.023359
10.124;0.023451
10.417;0.023525
10.711;0.023594
11.005;0.023678
11.298;0.023756
11.592;0.02383
11.883;0.023946
