X;Y
24.692;0.0028172
35.179;0.0033837
45.667;0.0039501
56.155;0.004579
66.642;0.0050669
77.13;0.0056876
87.617;0.0063199
98.105;0.0070007
108.59;0.0076607
119.08;0.0082756
129.57;0.0088733
140.06;0.0096222
150.54;0.010175
161.03;0.010954
171.04;0.01176
180.1;0.012592
188.2;0.013413
194.88;0.014138
202.03;0.015029
208.7;0.015869
215.37;0.016747
221.57;0.017598
227.29;0.018386
233.01;0.019188
238.73;0.020014
244.45;0.020835
250.17;0.02168
255.89;0.022513
261.62;0.023353
267.34;0.024218
273.06;0.025076
278.78;0.025941
284.38;0.026834
291.17;0.02781
297.37;0.028667
303.09;0.029624
315.48;0.031539
321.2;0.03241
326.45;0.033215
331.21;0.033949
336.46;0.03494
344.56;0.036006
350.28;0.036884
356.0;0.037774
361.72;0.038645
365.06;0.039109
376.03;0.04082
381.75;0.041685
387.47;0.042549
393.19;0.043401
397.95;0.044107
