X;Y
1.2738;0.015239
1.4893;0.016343
1.7028;0.017481
1.9163;0.018594
2.1135;0.019694
2.3567;0.020894
2.7704;0.022836
2.9973;0.02411
3.2242;0.025254
3.4377;0.026348
3.6512;0.027474
3.8381;0.028464
4.065;0.029764
4.5187;0.031964
4.7589;0.033128
4.9991;0.034253
5.2394;0.035339
5.4929;0.036431
5.7732;0.03756
6.0101;0.038363
6.4138;0.03997
6.9209;0.04176
7.2145;0.042727
7.5081;0.043685
7.8017;0.044619
8.0953;0.045556
8.3889;0.046442
8.6825;0.047339
8.9761;0.048232
9.2507;0.049142
9.5366;0.049967
10.124;0.051687
10.417;0.052562
10.711;0.053441
11.005;0.054333
11.298;0.055235
11.592;0.056137
11.883;0.056878
