X;Y
0.0;6.9383e-10
0.13289;6.8886e-10
0.14713;6.8859e-10
0.16289;6.8859e-10
0.18035;6.8666e-10
0.19967;6.8257e-10
0.22106;6.8257e-10
0.24688;6.8262e-10
0.27098;6.8298e-10
0.30002;6.8529e-10
0.33217;6.8622e-10
0.36776;6.8682e-10
0.40717;6.8543e-10
0.44794;6.9175e-10
0.46207;6.5488e-10
0.50836;6.6774e-10
0.56281;6.594e-10
0.62308;6.522e-10
0.68978;6.4021e-10
0.75818;6.3254e-10
0.84547;6.3019e-10
0.93598;6.1873e-10
1.0362;6.0941e-10
1.1472;6.0432e-10
1.2701;6.0192e-10
1.4062;5.9928e-10
1.5568;5.9594e-10
1.7236;5.9144e-10
1.9082;5.8908e-10
2.1126;5.8184e-10
2.3388;5.7262e-10
2.5893;5.7125e-10
2.8668;5.6898e-10
3.1737;5.6153e-10
3.5136;5.5485e-10
3.8899;5.4715e-10
4.3064;5.3956e-10
4.7675;5.3101e-10
5.2779;5.2114e-10
5.8428;5.0942e-10
6.4681;4.9677e-10
7.1604;4.8676e-10
7.9268;4.7543e-10
8.7757;4.6977e-10
9.7156;4.6455e-10
10.756;4.603e-10
11.908;4.5719e-10
13.184;4.5464e-10
14.596;4.5174e-10
16.16;4.4905e-10
17.891;4.4762e-10
19.808;4.4583e-10
21.93;4.4441e-10
24.279;4.4017e-10
26.881;4.3895e-10
29.761;4.3807e-10
32.95;4.3737e-10
36.48;4.3615e-10
40.389;4.3615e-10
44.716;4.3424e-10
49.507;4.3424e-10
54.812;4.3303e-10
60.685;4.3234e-10
67.187;4.3217e-10
74.383;4.2719e-10
82.353;4.2668e-10
91.175;4.2464e-10
100.94;4.211e-10
111.76;4.211e-10
123.73;4.1992e-10
136.98;4.1525e-10
151.66;4.1377e-10
167.91;4.1195e-10
185.9;4.1195e-10
205.82;4.1162e-10
227.87;4.1015e-10
252.29;4.1015e-10
279.32;4.09e-10
309.23;4.0446e-10
342.36;4.0301e-10
379.04;4.022e-10
419.65;3.9948e-10
464.61;3.9948e-10
514.39;3.9789e-10
569.5;3.9599e-10
630.52;3.9599e-10
672.72;3.9599e-10
