X;Y
0.0;7.9945e-10
0.13298;7.9754e-10
0.14723;7.9246e-10
0.163;7.8805e-10
0.18046;7.8554e-10
0.1998;7.8209e-10
0.22121;7.8054e-10
0.2449;7.7309e-10
0.27112;7.6298e-10
0.30016;7.557e-10
0.33231;7.4641e-10
0.36873;7.3198e-10
0.41078;7.089e-10
0.44752;7.0065e-10
0.50024;6.7975e-10
0.55251;6.6588e-10
0.61166;6.5455e-10
0.67715;6.4238e-10
0.74653;6.325e-10
0.82998;6.3271e-10
0.91883;6.2071e-10
1.0172;6.0941e-10
1.1304;5.9614e-10
1.2488;5.7527e-10
1.3715;5.654e-10
1.5218;5.5274e-10
1.7012;5.3343e-10
1.856;5.2154e-10
2.0725;5.1043e-10
2.2943;4.9895e-10
2.5399;4.8948e-10
2.8118;4.8e-10
3.1127;4.6715e-10
3.4458;4.5464e-10
3.8146;4.4282e-10
4.2226;4.2702e-10
4.674;4.0672e-10
5.1735;3.8585e-10
5.7262;3.6386e-10
6.3376;3.3877e-10
7.0142;3.1516e-10
7.7636;2.9696e-10
8.5934;2.8239e-10
9.5118;2.6811e-10
10.528;2.5506e-10
11.655;2.4596e-10
12.9;2.3418e-10
14.278;2.2022e-10
15.805;2.1092e-10
17.494;1.9986e-10
19.364;1.9036e-10
21.434;1.8124e-10
23.725;1.7228e-10
26.261;1.6422e-10
29.069;1.5698e-10
32.176;1.494e-10
35.615;1.4201e-10
39.422;1.3537e-10
43.636;1.2909e-10
48.301;1.23e-10
53.463;1.1706e-10
59.178;1.115e-10
65.505;1.0646e-10
72.509;1.0188e-10
80.257;9.6421e-11
88.836;9.2022e-11
98.335;8.8034e-11
108.85;8.4151e-11
120.49;8.0632e-11
133.37;7.723e-11
147.63;7.3942e-11
163.41;7.085e-11
180.89;6.7861e-11
200.23;6.4946e-11
221.63;6.2106e-11
245.33;5.9414e-11
271.56;5.6885e-11
300.59;5.4159e-11
332.73;5.175e-11
368.28;4.9055e-11
407.64;4.6518e-11
451.21;4.4184e-11
499.44;4.2117e-11
552.86;4.0517e-11
612.02;3.9417e-11
659.0;3.8842e-11
