X;Y
0.0;3.9473e-10
0.13625;3.9253e-10
0.15085;3.9081e-10
0.16701;3.891e-10
0.1849;3.8585e-10
0.20471;3.8324e-10
0.22663;3.8019e-10
0.25091;3.7732e-10
0.27778;3.7357e-10
0.30753;3.6854e-10
0.34046;3.6386e-10
0.37692;3.581e-10
0.41727;3.5285e-10
0.46195;3.4698e-10
0.51141;3.4107e-10
0.56615;3.3433e-10
0.62675;3.2655e-10
0.69383;3.1857e-10
0.76807;3.1004e-10
0.85024;3.0042e-10
0.94121;2.9121e-10
1.0419;2.8284e-10
1.1534;2.7505e-10
1.2768;2.6758e-10
1.4135;2.6052e-10
1.5647;2.5374e-10
1.7322;2.4705e-10
1.9175;2.4072e-10
2.1228;2.3483e-10
2.35;2.3038e-10
2.6016;2.2682e-10
2.8802;2.2269e-10
3.1883;2.1569e-10
3.5292;2.0725e-10
3.9066;1.9803e-10
4.3242;1.887e-10
4.7862;1.7844e-10
5.2728;1.6607e-10
5.8081;1.5096e-10
6.36;1.3517e-10
6.8905;1.2362e-10
7.6561;1.1384e-10
8.4734;1.0578e-10
9.3787;9.9789e-11
10.381;9.429e-11
11.49;8.9593e-11
12.718;8.5131e-11
14.078;8.0955e-11
15.583;7.7138e-11
17.248;7.3354e-11
19.092;6.9895e-11
21.133;6.66e-11
23.392;6.3561e-11
25.893;6.0709e-11
28.661;5.8124e-11
31.726;5.5672e-11
35.118;5.3344e-11
38.874;5.1195e-11
43.03;4.9074e-11
47.631;4.706e-11
52.725;4.511e-11
58.362;4.3259e-11
64.604;4.1649e-11
71.512;3.986e-11
79.159;3.8269e-11
87.623;3.6669e-11
96.993;3.5234e-11
107.37;3.3856e-11
118.85;3.2531e-11
131.56;3.1258e-11
145.62;2.9867e-11
161.19;2.8448e-11
178.42;2.7258e-11
197.5;2.6119e-11
218.62;2.5026e-11
242.0;2.4018e-11
267.88;2.318e-11
296.53;2.23e-11
328.23;2.1265e-11
363.33;2.0409e-11
402.18;1.961e-11
445.2;1.8873e-11
492.81;1.8149e-11
545.52;1.7522e-11
603.91;1.7135e-11
662.42;1.6908e-11
