X;Y
5.7268;19.635
5.6904;19.381
5.6561;19.118
5.6349;18.871
5.6128;18.612
5.5809;18.383
5.5394;18.136
5.5071;17.893
5.4801;17.653
5.4577;17.389
5.4384;17.136
5.4079;16.908
5.3685;16.667
5.3392;16.421
5.3163;16.186
5.2814;15.947
5.2383;15.687
5.2043;15.475
5.1683;15.226
5.1467;15.004
5.1072;14.754
5.0748;14.527
5.044;14.304
5.0109;14.06
4.9906;13.818
4.9601;13.591
4.9295;13.365
4.899;13.138
4.8685;12.91
4.8379;12.683
4.8074;12.457
4.7768;12.236
4.7473;12.008
4.7065;11.751
4.6751;11.512
4.6445;11.297
4.614;11.082
4.5835;10.873
4.5529;10.664
4.5224;10.452
4.4918;10.239
4.4604;10.004
4.4196;9.7622
4.3901;9.5462
4.3595;9.3387
4.329;9.1334
4.2985;8.9301
4.2659;8.7158
4.2309;8.4853
4.1977;8.2541
4.1594;8.009
4.1121;7.8024
4.0803;7.6155
4.0514;7.3125
4.0003;7.0262
3.9553;6.8004
3.9202;6.508
3.8794;6.2671
3.8367;6.019
3.8252;5.8768
3.7839;5.6627
3.7226;5.4029
3.6928;5.1636
3.6668;4.9213
3.6165;4.9005
3.592;4.6284
3.5469;4.3492
3.5249;4.1321
3.4797;3.9056
3.4231;3.6855
3.3926;3.4818
3.3417;3.2521
3.2908;3.0284
3.2353;2.8005
3.188;2.5753
3.1289;2.3696
3.0761;2.1465
3.0363;1.926
2.9803;1.703
2.9244;1.4862
2.8429;1.2261
2.7725;1.0287
2.7084;0.8212
2.6252;0.61921
2.5274;0.38252
2.4129;0.2598
2.2455;0.085961
1.9167;0.030944
1.8047;0.02788
1.6928;0.036114
1.5808;0.028358
1.4689;0.026635
1.3569;0.018879
1.2449;0.012847
1.133;0.005092
1.021;7.8338e-05
0.90904;7.8338e-05
0.79707;7.8338e-05
0.68511;7.8338e-05
0.57315;7.8338e-05
0.46118;7.8338e-05
0.34922;7.8338e-05
0.23726;7.8338e-05
0.1253;7.8338e-05
