X;Y
9.3155;3.6712e-08
15.341;5.0436e-08
21.594;6.5362e-08
27.847;8.7933e-08
34.1;1.1851e-07
40.353;1.5128e-07
46.606;1.8622e-07
52.859;2.2263e-07
59.112;2.6122e-07
65.365;3.0381e-07
71.617;3.4713e-07
77.87;3.8899e-07
84.123;4.3377e-07
90.376;4.8437e-07
96.629;5.4153e-07
102.88;6.0524e-07
109.14;6.7149e-07
115.39;7.3665e-07
121.64;8.0218e-07
127.89;8.688e-07
134.15;9.3579e-07
140.4;1.0031e-06
146.65;1.0719e-06
152.91;1.1411e-06
159.16;1.2103e-06
165.41;1.282e-06
171.66;1.3533e-06
177.92;1.4272e-06
184.17;1.5015e-06
190.42;1.5776e-06
196.68;1.6562e-06
202.93;1.7359e-06
209.18;1.816e-06
215.44;1.8961e-06
221.69;1.9784e-06
227.94;2.0589e-06
234.19;2.1419e-06
240.45;2.2285e-06
246.42;2.308e-06
252.38;2.3981e-06
258.35;2.4834e-06
264.04;2.5707e-06
269.72;2.6592e-06
275.12;2.7447e-06
280.24;2.8293e-06
285.35;2.9143e-06
290.47;3.0001e-06
295.59;3.0887e-06
300.7;3.1786e-06
305.82;3.268e-06
310.93;3.3579e-06
316.05;3.45e-06
321.17;3.5407e-06
326.28;3.6333e-06
331.11;3.7206e-06
335.66;3.8032e-06
340.49;3.8914e-06
345.61;3.9857e-06
350.44;4.073e-06
354.99;4.1571e-06
359.54;4.2402e-06
364.08;4.3243e-06
368.63;4.4084e-06
373.18;4.4925e-06
377.73;4.5781e-06
382.27;4.6627e-06
386.82;4.7473e-06
391.37;4.8328e-06
396.2;4.9045e-06
