X;Y
0.0;0.0
0.13247;0.29524
0.21249;0.47318
0.30781;0.6331
0.4291;0.88291
0.54161;1.0721
0.65413;1.2432
0.76664;1.4013
0.87916;1.543
0.99167;1.6657
1.1042;1.7866
1.2167;1.8955
1.3292;1.994
1.4417;2.0864
1.5542;2.1754
1.6668;2.2566
1.7793;2.3335
1.8918;2.3992
2.0043;2.4631
2.1168;2.5202
2.2293;2.5772
2.3419;2.6256
2.4544;2.6774
2.5669;2.7215
2.6794;2.7612
2.7919;2.7992
2.9044;2.8338
3.0169;2.8649
3.1295;2.896
3.242;2.921
3.3545;2.9513
3.467;2.9746
3.5795;2.9988
3.692;3.0221
3.8046;3.0429
3.9171;3.061
4.0296;3.0774
4.1421;3.0964
4.2546;3.1137
4.3671;3.1301
4.4796;3.144
4.5922;3.1543
4.7047;3.1733
4.8172;3.1811
4.9297;3.1923
5.0422;3.2036
5.1547;3.2113
5.2673;3.2269
5.3798;3.2303
5.4923;3.2494
5.6048;3.2511
5.7173;3.2684
5.8298;3.2692
5.9423;3.2874
6.0549;3.2874
6.1674;3.3003
6.2799;3.3064
6.3924;3.3064
6.5049;3.3176
6.6174;3.3254
6.73;3.3254
6.8425;3.3254
6.955;3.3271
7.0675;3.3383
7.18;3.3444
7.2925;3.3444
7.405;3.3444
7.5176;3.3444
7.6301;3.3599
7.7426;3.3634
7.8551;3.3634
7.9676;3.3634
8.0801;3.372
8.1927;3.3824
8.3052;3.3824
8.4177;3.3824
8.5302;3.3902
8.6427;3.4014
8.7552;3.4014
8.8677;3.4014
8.9803;3.4092
9.0928;3.4204
9.2053;3.4204
9.3178;3.4204
9.4303;3.4204
9.5428;3.436
9.6554;3.4394
9.7679;3.4394
9.8804;3.4311
