X;Y
0.0;0.51764
1.0728;0.8289
1.4684;1.1258
1.8842;1.5113
2.2391;1.8106
2.5434;2.058
2.8983;2.3612
3.3141;2.6869
3.7198;3.0221
4.1153;3.3788
4.5463;3.708
4.8252;3.9894
5.2208;4.2862
5.6366;4.6298
5.9713;4.9279
6.3718;5.2404
6.6507;5.5217
7.0564;5.8569
7.4621;6.2041
7.8677;6.5393
8.2227;6.8386
8.5777;7.1378
8.9833;7.473
9.389;7.8202
9.8743;8.1486
10.505;8.343
11.113;8.4507
11.722;8.5664
12.33;8.6822
12.939;8.7899
13.547;8.9016
14.156;9.0134
14.764;9.1291
15.373;9.2408
15.981;9.3526
16.59;9.4683
17.198;9.576
17.807;9.6878
18.415;9.8035
19.024;9.9192
19.632;10.027
20.241;10.143
20.849;10.258
21.458;10.366
22.066;10.482
22.675;10.594
23.283;10.701
23.892;10.817
24.5;10.933
25.109;11.037
25.717;11.152
26.326;11.268
26.934;11.38
27.543;11.559
28.05;11.855
28.506;12.149
29.013;12.451
29.52;12.772
29.977;13.046
30.382;13.297
30.839;13.586
31.295;13.866
31.751;14.151
32.258;14.457
32.765;14.783
33.273;15.075
33.78;15.405
34.236;15.685
34.642;15.931
35.098;16.219
35.605;16.526
36.112;16.847
36.569;17.116
37.025;17.407
37.532;17.713
37.938;17.932
