X;Y
5.2473;4.5358e-06
5.5825;5.1358e-06
5.9176;5.7618e-06
6.2528;6.3964e-06
6.588;7.0051e-06
6.9231;7.6397e-06
7.2583;8.2397e-06
7.5935;8.857e-06
7.9287;9.4656e-06
8.2638;1.0109e-05
8.599;1.0744e-05
8.9342;1.1387e-05
9.2693;1.2039e-05
9.6045;1.2708e-05
9.9397;1.3421e-05
10.275;1.4134e-05
10.61;1.4908e-05
10.945;1.5672e-05
11.28;1.6507e-05
11.616;1.7341e-05
11.951;1.821e-05
12.286;1.9088e-05
12.621;1.9948e-05
12.956;2.0869e-05
13.291;2.1756e-05
13.627;2.2677e-05
13.962;2.3572e-05
14.297;2.4476e-05
14.632;2.5397e-05
14.967;2.63e-05
15.302;2.7213e-05
15.638;2.816e-05
15.973;2.9064e-05
16.308;2.9985e-05
16.643;3.0923e-05
16.978;3.1853e-05
17.313;3.2766e-05
17.649;3.3695e-05
17.984;3.4642e-05
18.319;3.559e-05
18.654;3.6554e-05
18.989;3.7501e-05
19.324;3.8492e-05
19.66;3.9526e-05
19.995;4.0534e-05
20.33;4.1576e-05
20.665;4.2619e-05
21.0;4.3714e-05
21.336;4.4765e-05
21.671;4.5886e-05
22.006;4.7015e-05
22.341;4.8127e-05
22.676;4.9265e-05
23.011;5.0429e-05
23.347;5.1594e-05
23.682;5.2766e-05
24.017;5.3931e-05
24.352;5.5095e-05
24.687;5.6268e-05
25.022;5.7414e-05
25.358;5.8544e-05
25.571;5.9025e-05
